date,heure,rang,nb_gagnants,gain_unitaire_eur
20/12/2025,15h,7L,2043,14
20/12/2025,15h,7,10081,7
20/12/2025,15h,6L,9880,2
20/12/2025,15h,6,49083,1
20/12/2025,15h,0L,98070,1
20/12/2025,16h,10,0,0
20/12/2025,16h,9L,5,1000
20/12/2025,16h,9,38,500
20/12/2025,16h,8L,190,100
20/12/2025,16h,8,911,50
20/12/2025,16h,7L,2098,14
20/12/2025,16h,7,10493,7
20/12/2025,16h,6L,10491,2
20/12/2025,16h,6,52136,1
20/12/2025,16h,0L,102275,1
20/12/2025,17h,10,1,500000
20/12/2025,17h,9L,4,1000
20/12/2025,17h,9,27,500
20/12/2025,17h,8L,173,100
20/12/2025,17h,8,973,50
20/12/2025,17h,7L,1956,14
20/12/2025,17h,7,9761,7
20/12/2025,17h,6L,10195,2
20/12/2025,17h,6,50380,1
20/12/2025,17h,0L,107456,1
20/12/2025,18h,10,0,0
20/12/2025,18h,9L,3,1000
20/12/2025,18h,9,28,500
20/12/2025,18h,8L,164,100
20/12/2025,18h,8,833,50
20/12/2025,18h,7L,1920,14
20/12/2025,18h,7,9754,7
20/12/2025,18h,6L,10447,2
20/12/2025,18h,6,52041,1
20/12/2025,18h,0L,106499,1
20/12/2025,19h,10,0,0
20/12/2025,19h,9L,6,1320
20/12/2025,19h,9,29,679.3
20/12/2025,19h,8L,217,136.8
20/12/2025,19h,8,1020,69.6
20/12/2025,19h,7L,2592,19.7
20/12/2025,19h,7,12982,10.7
20/12/2025,19h,6L,13515,3.4
20/12/2025,19h,6,68488,1.7
20/12/2025,19h,0L,132631,1.2
27/12/2025,13h,10,1,100000
27/12/2025,13h,9L,3,1000
27/12/2025,13h,9,16,500
27/12/2025,13h,8L,126,100
27/12/2025,13h,8,706,50
27/12/2025,13h,7L,1714,14
27/12/2025,13h,7,8621,7
27/12/2025,13h,6L,9559,2
27/12/2025,13h,6,48348,1
27/12/2025,13h,0L,102742,1
27/12/2025,14h,10,0,0
27/12/2025,14h,9L,3,1000
27/12/2025,14h,9,27,500
27/12/2025,14h,8L,162,100
27/12/2025,14h,8,796,50
27/12/2025,14h,7L,1747,14
27/12/2025,14h,7,8792,7
27/12/2025,14h,6L,9105,2
27/12/2025,14h,6,44742,1
27/12/2025,14h,0L,88195,1
27/12/2025,15h,10,0,0
27/12/2025,15h,9L,5,1000
27/12/2025,15h,9,33,500
27/12/2025,15h,8L,199,100
27/12/2025,15h,8,1004,50
27/12/2025,15h,7L,2194,14
27/12/2025,15h,7,11103,7
27/12/2025,15h,6L,10450,2
27/12/2025,15h,6,52453,1
27/12/2025,15h,0L,90762,1
27/12/2025,16h,10,0,0
27/12/2025,16h,9L,13,1000
27/12/2025,16h,9,33,500
27/12/2025,16h,8L,228,100
27/12/2025,16h,8,1188,50
27/12/2025,16h,7L,1944,14
27/12/2025,16h,7,10262,7
27/12/2025,16h,6L,9963,2
27/12/2025,16h,6,49712,1
27/12/2025,16h,0L,94202,1
27/12/2025,17h,10,0,0
27/12/2025,17h,9L,3,1000
27/12/2025,17h,9,26,500
27/12/2025,17h,8L,165,100
27/12/2025,17h,8,842,50
27/12/2025,17h,7L,1941,14
27/12/2025,17h,7,9756,7
27/12/2025,17h,6L,10578,2
27/12/2025,17h,6,52820,1
27/12/2025,17h,0L,98389,1
27/12/2025,18h,10,0,0
27/12/2025,18h,9L,7,1000
27/12/2025,18h,9,20,500
27/12/2025,18h,8L,192,100
27/12/2025,18h,8,1045,50
27/12/2025,18h,7L,2332,14
27/12/2025,18h,7,11414,7
27/12/2025,18h,6L,11381,2
27/12/2025,18h,6,57262,1
27/12/2025,18h,0L,102238,1
27/12/2025,19h,10,0,0
27/12/2025,19h,9L,2,3880
27/12/2025,19h,9,42,871.4
27/12/2025,19h,8L,247,197.1
27/12/2025,19h,8,1256,97.7
27/12/2025,19h,7L,2798,29.8
27/12/2025,19h,7,13966,17.5
27/12/2025,19h,6L,14194,6.1
27/12/2025,19h,6,70058,3
27/12/2025,19h,0L,137995,1.7
03/01/2026,13h,10,0,0
03/01/2026,13h,9L,15,1000
03/01/2026,13h,9,70,500
03/01/2026,13h,8L,281,100
03/01/2026,13h,8,1269,50
03/01/2026,13h,7L,2514,14
03/01/2026,13h,7,12560,7
03/01/2026,13h,6L,10940,2
03/01/2026,13h,6,53792,1
03/01/2026,13h,0L,96493,1
03/01/2026,14h,10,0,0
03/01/2026,14h,9L,4,1000
03/01/2026,14h,9,29,500
03/01/2026,14h,8L,147,100
03/01/2026,14h,8,806,50
03/01/2026,14h,7L,1908,14
03/01/2026,14h,7,9333,7
03/01/2026,14h,6L,9433,2
03/01/2026,14h,6,47613,1
03/01/2026,14h,0L,84893,1
03/01/2026,15h,10,0,0
03/01/2026,15h,9L,3,1000
03/01/2026,15h,9,16,500
03/01/2026,15h,8L,118,100
03/01/2026,15h,8,629,50
03/01/2026,15h,7L,1514,14
03/01/2026,15h,7,7471,7
03/01/2026,15h,6L,8148,2
03/01/2026,15h,6,41739,1
03/01/2026,15h,0L,92681,1
03/01/2026,16h,10,1,400000
