date,heure,rang,nb_gagnants,gain_unitaire_eur,gain_total_eur
25/04/2026,15h,7L,971,14,13594
25/04/2026,15h,7,5284,7,36988
25/04/2026,15h,6L,5833,2,11666
25/04/2026,15h,6,29747,1,29747
25/04/2026,15h,0L,66813,1,66813
25/04/2026,16h,10,0,0,0
25/04/2026,16h,9L,1,1000,1000
25/04/2026,16h,9,18,500,9000
25/04/2026,16h,8L,125,100,12500
25/04/2026,16h,8,547,50,27350
25/04/2026,16h,7L,1203,14,16842
25/04/2026,16h,7,6327,7,44289
25/04/2026,16h,6L,6690,2,13380
25/04/2026,16h,6,33098,1,33098
25/04/2026,16h,0L,67579,1,67579
25/04/2026,17h,10,1,400000,400000
